"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-06-18 08:47:42""",209656,12.55,12.0,7.667,0.0,2.079,-0.589,0.694,0.091,0.0,828.0,2699.0,226.667,-1.0
"""2026-06-18 09:05:42""",209676,12.514,6.35,7.75,0.0,3.533,-0.495,0.72,0.055,0.0,829.1,2688.0,195.75,-1.0
"""2026-06-18 09:10:57""",209685,12.668,7.111,7.889,0.0,2.264,-0.545,0.641,0.018,0.0,827.778,2681.667,203.889,-1.0
"""2026-06-18 09:16:20""",209691,12.648,8.167,8.333,0.0,2.418,-0.61,0.639,0.063,0.0,835.333,2687.667,195.833,-1.0
"""2026-06-18 09:21:26""",209699,12.494,6.375,9.5,0.0,2.174,-0.657,0.557,0.076,0.0,833.5,2676.25,188.625,-1.0
"""2026-06-18 09:34:36""",209706,12.477,8.286,8.0,0.0,3.168,-0.4,0.54,0.04,0.0,827.857,2684.286,207.429,-1.0
"""2026-06-18 09:39:46""",209715,12.433,6.556,6.889,0.0,3.48,-0.424,0.68,0.031,0.0,828.556,2687.889,191.556,-1.0
"""2026-06-18 09:45:35""",209725,12.436,6.2,7.7,0.0,2.743,-0.57,0.657,0.075,0.0,830.3,2685.3,195.3,-1.0
