"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-09-10 11:28:42""",209858,12.464,5.75,8.25,0.0,2.755,-0.511,0.814,0.031,0.0,829.375,2677.625,189.875,-1.0
"""2026-09-10 11:42:11""",209863,12.688,5.6,7.8,0.0,3.919,-0.426,0.519,0.053,0.0,830.4,2680.6,209.4,-1.0
"""2026-09-10 11:47:34""",209873,12.367,5.3,6.4,0.0,2.53,-0.583,0.51,0.052,0.0,830.6,2682.6,204.0,-1.0
"""2026-09-10 11:54:15""",209882,12.466,6.0,4.556,0.0,3.884,-0.363,0.597,0.039,0.0,825.889,2685.667,196.0,-1.0
"""2026-09-10 11:59:48""",209893,12.549,7.545,4.727,0.0,5.177,-0.495,0.751,0.053,0.0,828.818,2689.545,193.727,-1.0
"""2026-09-10 12:06:42""",209901,12.486,8.5,7.25,0.0,4.187,-0.523,0.654,0.028,0.0,832.125,2688.375,193.875,-1.0
"""2026-09-10 12:12:02""",209909,12.57,8.25,6.0,0.0,4.166,-0.613,0.656,0.046,0.0,828.5,2692.125,219.25,-1.0
"""2026-09-10 12:23:44""",209913,12.593,4.75,8.75,0.0,4.475,-0.35,0.469,0.035,0.0,830.25,2674.0,213.25,-1.0
